date,open_price,high_price,low_price,price,volume
2025-06-03,666.0561104906627,666.0561104906627,666.0561104906627,666.0561104906627,550346321.1131796
2025-06-04,661.17332497159,661.17332497159,661.17332497159,661.17332497159,717080413.430261
2025-06-05,663.70338541173,663.70338541173,663.70338541173,663.70338541173,585654885.1918986
2025-06-06,634.1479715861758,634.1479715861758,634.1479715861758,634.1479715861758,1050942219.4544812
2025-06-07,643.7566841456504,643.7566841456504,643.7566841456504,643.7566841456504,828491539.5454317
2025-06-08,650.7937997932994,650.7937997932994,650.7937997932994,650.7937997932994,464282809.21614456
2025-06-09,652.274428548494,652.274428548494,652.274428548494,652.274428548494,277471527.06296444
2025-06-10,666.3374143222443,666.3374143222443,666.3374143222443,666.3374143222443,720838499.864964
2025-06-11,673.4760595844963,673.4760595844963,673.4760595844963,673.4760595844963,915030301.0453427
2025-06-12,667.7388930109494,667.7388930109494,667.7388930109494,667.7388930109494,926482996.0464325
2025-06-13,656.4804964003403,656.4804964003403,656.4804964003403,656.4804964003403,833602957.1016513
2025-06-14,654.9095462616511,654.9095462616511,654.9095462616511,654.9095462616511,1091022440.7624466
2025-06-15,645.8086677048335,645.8086677048335,645.8086677048335,645.8086677048335,465113546.69991523
2025-06-16,648.2042600997396,648.2042600997396,648.2042600997396,648.2042600997396,342983199.2537816
2025-06-17,651.4813571171453,651.4813571171453,651.4813571171453,651.4813571171453,677081516.7980691
2025-06-18,648.799470473488,648.799470473488,648.799470473488,648.799470473488,919084069.2175109
2025-06-19,643.7728727892951,643.7728727892951,643.7728727892951,643.7728727892951,805534251.3963257
2025-06-20,644.3626647131019,644.3626647131019,644.3626647131019,644.3626647131019,530108876.6028053
2025-06-21,641.4660754156638,641.4660754156638,641.4660754156638,641.4660754156638,566416175.4191926
2025-06-22,626.5687672231079,626.5687672231079,626.5687672231079,626.5687672231079,506048055.8076519
2025-06-23,615.9200839908369,615.9200839908369,615.9200839908369,615.9200839908369,1152325722.5588028
2025-06-24,640.2543180324582,640.2543180324582,640.2543180324582,640.2543180324582,1018106255.6202904
2025-06-25,643.4133640920619,643.4133640920619,643.4133640920619,643.4133640920619,541068316.461594
2025-06-26,645.8665732235779,645.8665732235779,645.8665732235779,645.8665732235779,827204901.7289867
2025-06-27,642.4572030728536,642.4572030728536,642.4572030728536,642.4572030728536,624553271.4953628
